Date,TWI,AUDUSD,AUDYEN,BB90,AuLonPM,AgLon,Cu,Pb,Al,Ni,Zn,Brent,Dubai,FeOreChina,HenHub,ThermCoalNew
31/01/2010,69.2,0.8909,80.12,3.97,1078.5,1775.05,7367.4,2352.18,2230.15,18405.55,2414.69,76.37,76.64,125.91,5.84,103.93
28/02/2010,69.5,0.8899,79.42,3.89,1108.25,1587.21,6867.69,2125.8,2053.29,19060.55,2158.82,74.31,73.55,127.62,5.32,100.92
31/03/2010,71.7,0.9159,85.55,4.16,1115.5,1715.46,7466.96,2162.71,2210.55,22467.17,2277.29,79.27,77.37,139.77,4.29,101.12
30/04/2010,72.5,0.93,87.49,4.4,1179.25,1816.83,7729.86,2272.18,2314.31,26028.5,2367.53,84.93,82.98,172.47,4.04,107.3
31/05/2010,67.5,0.849,77.71,4.52,1207.5,1842.24,6843.18,1876.82,2044.73,21930,1969.82,76.25,76.62,161.35,4.15,107.28
30/06/2010,67.3,0.8523,75.46,4.53,1244,1853.43,6501.5,1707.28,1929.41,19411.3,1746.51,74.84,73.98,143.63,4.8,105.2
31/07/2010,69.4,0.8986,77.67,4.56,1169,1793.98,6750.57,1843.97,1989.05,19548.52,1847.03,74.74,72.65,126.36,4.63,102.84
31/08/2010,69,0.8918,75.06,4.51,1246,1849.25,7302.67,2082.8,2110.44,21448.79,2047.48,76.69,74.35,145.34,4.31,96.19
30/09/2010,72.9,0.9667,80.58,4.62,1307,2061.12,7729.59,2192.85,2171.24,22690.14,2150.94,77.79,75.29,140.63,3.89,101.66
31/10/2010,72.7,0.9761,78.67,4.64,1346.75,2346.86,8289.76,2383.55,2342.18,23793.68,2373.56,82.92,80.34,148.48,3.43,104.41
30/11/2010,73,0.9618,80.88,4.79,1383.5,2657.2,8458.42,2364.98,2324.05,22836.23,2283.3,85.67,83.74,160.55,3.71,114.81
31/12/2010,75.8,1.0163,82.83,4.79,1405.5,2937.35,9152.86,2413.2,2356.67,24099.57,2287.32,91.8,89.18,168.53,4.25,126.74
31/01/2011,74,0.9924,81.43,4.78,1327,2855.15,9533.2,2583.98,2439.7,25621.23,2375.81,96.29,92.19,179.63,4.49,141.94
28/02/2011,75.5,1.0163,83,4.78,1402.5,3085.84,9880.94,2595.58,2515.26,28412.18,2473.45,103.96,99.88,187.18,4.09,137.53
31/03/2011,76.3,1.0334,85.6,4.76,1439,3594.61,9503.36,2624.02,2555.5,26710.35,2341.48,114.44,108.58,169.36,3.97,135.14
30/04/2011,78.9,1.09,88.91,4.77,1535.5,4279.79,9482.75,2719.35,2667.42,26332.17,2371.48,123.15,115.76,179.26,4.24,131.25
31/05/2011,77.8,1.0709,87.15,4.83,1536.5,3708.09,8931.68,2419.64,2587.21,24164.55,2159.6,114.46,108.84,177.1,4.31,127.63
30/06/2011,77.8,1.0739,86.33,4.78,1505.5,3584.09,9066.85,2524.99,2557.76,22420.93,2234.47,113.76,107.52,170.88,4.54,128.67
31/07/2011,78.4,1.0954,84.92,4.72,1628.5,3811.93,9650.46,2681.02,2525.43,23847.95,2397.75,116.46,109.98,172.98,4.42,129.38
31/08/2011,76.5,1.0691,81.85,4.4,1813.5,4030.2,8997.99,2393.06,2380.98,21864.68,2199.24,110.08,104.96,177.45,4.05,128.71
30/09/2011,72.4,0.9781,74.88,4.41,1620,3813.05,8300.14,2287.67,2293.46,20377.59,2075.22,110.88,106,177.23,3.89,131.88
31/10/2011,76.9,1.0509,83.23,4.43,1722,3206.33,7394.19,1960.38,2180.65,19039.05,1871.42,109.47,103.88,150.43,3.56,127.92
30/11/2011,74.6,1.0021,78.05,4.22,1746,3326.52,7581.02,1994.22,2079.98,17873,1935.32,110.5,108.52,135.54,3.26,121.91
31/12/2011,75.8,1.0156,78.73,4.05,1531,3013.25,7558.88,2024.56,2024.38,18246.04,1911.15,107.97,106.21,136.46,3.16,119.53
31/01/2012,77.9,1.0637,81.03,3.99,1744,3076.86,8061.92,2100.21,2151.33,19908.62,1989.23,110.99,109.54,140.35,2.67,124.78
29/02/2012,79.2,1.0816,86.92,4.09,1770,3416.64,8441.49,2121.26,2207.92,20393.67,2057.79,119.7,116.15,140.4,2.53,125.38
31/03/2012,76.9,1.0402,85.34,4.15,1662.5,3292.95,8470.78,2056.69,2184.16,18660.81,2035.93,124.93,122.28,144.66,2.16,115.14
30/04/2012,77,1.0453,83.77,3.96,1651.25,3154.95,8285.53,2073.64,2048.51,17892.82,2002.68,120.59,117.38,147.65,1.95,110.99
31/05/2012,73.6,0.9727,76.63,3.39,1558,2888.62,7896.91,1999.25,2002.52,16968.32,1928.01,110.52,107.45,136.27,2.43,102.68
30/06/2012,76.5,1.0191,80.89,3.2,1598.5,2798.36,7428.29,1850.96,1885.51,16603.68,1855.93,95.59,94.24,134.62,2.45,93.42
31/07/2012,78.9,1.0526,82.36,3.31,1622,2744,7584.26,1881.48,1876.25,16128.41,1847.75,103.14,99.22,127.94,2.96,94.54
31/08/2012,77,1.0301,80.82,3.38,1648.5,2876.96,7510.43,1897.77,1843.33,15703.99,1816.32,113.34,108.39,107.8,2.84,97.5
30/09/2012,76.9,1.0464,81.05,3.29,1776,3360.85,8087.74,2177.68,2064.12,17287.96,2009.85,113.38,110.96,99.47,2.85,95.31
31/10/2012,76.5,1.0378,82.66,3.06,1719,3318.74,8062.03,2141.97,1974.3,17168.74,1903.96,111.97,108.68,113.95,3.32,87.7
30/11/2012,77.2,1.0431,85.98,3.1,1726,3277.32,7711.23,2181.97,1948.83,16335.36,1912.4,109.71,107.1,120.35,3.54,92.03
31/12/2012,77.1,1.0384,89.46,2.93,1664,3187.45,7966.49,2279.8,2086.76,17448.5,2040.43,109.64,105.67,128.87,3.34,99.51
31/01/2013,77.7,1.0394,94.4,2.88,1664.75,3106.17,8053.74,2334.47,2037.61,17494.07,2031.41,112.93,107.54,150.49,3.33,99.4
28/02/2013,77.4,1.0275,94.8,2.89,1588.5,3032.88,8060.93,2365.79,2053.6,17690.1,2128.69,116.46,111.22,154.64,3.33,101.72
31/03/2013,79.1,1.0426,98.08,2.95,1598.25,2879.1,7652.38,2173.35,1911.28,16731.7,1929.15,109.24,105.48,139.87,3.8,97.48
30/04/2013,78.4,1.0368,101.39,2.92,1469,2535.5,7221.16,2024.37,1861.02,15629.31,1855.6,102.88,101.66,137.39,4.17,94.03
31/05/2013,74,0.9649,97.34,2.69,1394.5,2303.83,7248.71,2031.89,1832.57,14948.23,1831.01,103.03,100.3,124.01,4.04,93.98
30/06/2013,71.4,0.9275,91.64,2.65,1192,2110.9,7000.24,2099.69,1814.54,14280.28,1839.01,103.11,100.33,114.82,3.83,88.67
31/07/2013,69.4,0.9037,88.48,2.6,1314.5,1971.02,6906.64,2047.73,1769.61,13750.32,1837.62,107.72,103.36,127.19,3.62,82.78
31/08/2013,69.2,0.8947,87.84,2.45,1394.75,2189.39,7186.25,2173.08,1816.24,14308.26,1896.39,110.96,106.66,137.06,3.43,82.46
30/09/2013,71.2,0.9309,91.13,2.46,1326.5,2256.38,7159.27,2084.92,1761.3,13801.39,1846.88,111.62,108.4,134.19,3.62,83.16
